set,algo,seed,iters,pair_parent,runtime_s,soft,hard,feasible,error
set8,ga_cuda,43,100,ga,6.041485,17837,0,True,
set8,ga,44,100,ga,3.461867,18885,0,True,
set8,ga_cuda,44,100,ga,5.172065,19023,0,True,
set8,abc,42,500,abc,7.090243,17988,0,True,
set8,abc_cuda,42,500,abc,6.982264,17988,0,True,
set8,abc,43,500,abc,6.635493,17438,0,True,
set8,abc_cuda,43,500,abc,7.509195,17438,0,True,
set8,abc,44,500,abc,6.382568,16426,0,True,
set8,abc_cuda,44,500,abc,7.344854,16426,0,True,
set8,hho,42,100,hho,7.949466,533375,0,True,
set8,hho_cuda,42,100,hho,7.247028,533375,0,True,
set8,hho,43,100,hho,9.063209,529109,0,True,
set8,hho_cuda,43,100,hho,6.916887,529109,0,True,
set8,hho,44,100,hho,8.66742,504888,0,True,
set8,hho_cuda,44,100,hho,7.525497,504888,0,True,
set8,woa,42,300,woa,6.450735,18284,0,True,
set8,woa_cuda,42,300,woa,7.600037,18284,0,True,
set8,woa,43,300,woa,6.280066,17546,0,True,
set8,woa_cuda,43,300,woa,7.488366,17546,0,True,
set8,woa,44,300,woa,6.322608,18415,0,True,
set8,woa_cuda,44,300,woa,7.541296,18415,0,True,
