algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
sa,sa_iters,7071,synthetic_scaling_1000,42,12252,3.260057,True,0,ok,11.11
sa,sa_iters,7071,synthetic_scaling_1000,43,12635,3.349174,True,0,ok,11.44
sa,sa_iters,7071,synthetic_scaling_1000,44,15009,2.97778,True,0,ok,11.04
alns,alns_iters,20000,synthetic_scaling_1000,44,6767,419.900281,True,0,ok,427.77
sa,sa_iters,18803,synthetic_scaling_1000,42,6382,6.472778,True,0,ok,14.7
sa,sa_iters,18803,synthetic_scaling_1000,43,5840,6.003625,True,0,ok,13.81
sa,sa_iters,18803,synthetic_scaling_1000,44,6965,6.538202,True,0,ok,14.4
tabu,tabu_iters,500,synthetic_scaling_1000,42,9843,4.339537,True,0,ok,12.08
tabu,tabu_iters,500,synthetic_scaling_1000,43,7808,3.925638,True,0,ok,11.71
tabu,tabu_iters,500,synthetic_scaling_1000,44,8952,4.738647,True,0,ok,12.61
sa,sa_iters,50000,synthetic_scaling_1000,43,5680,16.199749,True,0,ok,23.95
sa,sa_iters,50000,synthetic_scaling_1000,42,6366,17.539199,True,0,ok,25.46
sa,sa_iters,50000,synthetic_scaling_1000,44,6446,18.672159,True,0,ok,26.88
tabu,tabu_iters,1257,synthetic_scaling_1000,42,8584,9.954823,True,0,ok,17.14
tabu,tabu_iters,1257,synthetic_scaling_1000,43,6855,9.95914,True,0,ok,17.11
tabu,tabu_iters,1257,synthetic_scaling_1000,44,7442,10.36829,True,0,ok,18.15
tabu,tabu_iters,3162,synthetic_scaling_1000,42,5077,24.41518,True,0,ok,31.92
tabu,tabu_iters,3162,synthetic_scaling_1000,44,5790,22.679578,True,0,ok,30.73
tabu,tabu_iters,3162,synthetic_scaling_1000,43,5313,23.861972,True,0,ok,31.36
tabu,tabu_iters,7953,synthetic_scaling_1000,43,5313,24.68775,True,0,ok,32.94
tabu,tabu_iters,7953,synthetic_scaling_1000,44,5790,23.655775,True,0,ok,32.07
tabu,tabu_iters,7953,synthetic_scaling_1000,42,3987,32.069605,True,0,ok,40.21
tabu,tabu_iters,20000,synthetic_scaling_1000,42,3987,32.47149,True,0,ok,40.46
tabu,tabu_tenure,5,synthetic_scaling_1000,42,8439,14.617165,True,0,ok,22.82
