algorithm,num_exams,seed,soft_penalty,runtime,feasible,hard
Kempe Chain,950,42,9692,13.859553,True,0
Kempe Chain,950,43,9170,13.227659,True,0
Kempe Chain,950,44,9863,13.860605,True,0
LAHC,1000,42,15866,2.809604,True,0
LAHC,1000,43,14823,2.713055,True,0
LAHC,1000,44,18862,1.926362,True,0
LAHC,100,42,18003,2.354164,False,330
LAHC,100,43,18482,2.248548,False,331
LAHC,100,44,18049,2.223377,False,337
LAHC,150,42,23349,3.493524,False,323
LAHC,150,43,23210,3.822211,False,322
LAHC,150,44,21741,3.800711,False,327
LAHC,200,42,20697,2.259865,False,114
LAHC,200,43,20103,1.893186,False,111
LAHC,200,44,20377,2.239244,False,66
LAHC,250,42,21677,3.657638,False,30
LAHC,250,43,25722,3.576955,False,22
LAHC,250,44,26331,3.67542,False,25
LAHC,300,42,19448,3.436457,False,4
LAHC,300,43,21499,3.398678,False,11
LAHC,300,44,21228,2.636202,False,6
LAHC,350,42,17865,2.612528,False,1
LAHC,350,43,17792,2.305375,False,1
LAHC,350,44,16302,2.503837,False,1
LAHC,400,42,13508,0.887067,True,0
LAHC,400,43,13297,0.82908,True,0
LAHC,400,44,13461,0.89874,True,0
LAHC,450,42,15095,0.743816,True,0
LAHC,450,43,14808,1.116128,True,0
LAHC,450,44,15808,0.766474,True,0
LAHC,500,42,13121,0.985552,True,0
LAHC,500,43,12607,0.947426,True,0
LAHC,500,44,11804,1.16117,True,0
LAHC,50,42,13578,0.535196,False,393
LAHC,50,43,14040,0.467214,False,401
LAHC,50,44,15699,0.532954,False,391
LAHC,550,42,12629,1.268924,True,0
LAHC,550,43,11269,1.463484,True,0
LAHC,550,44,11521,1.491139,True,0
LAHC,600,42,9980,1.372291,True,0
LAHC,600,43,11604,1.375327,True,0
LAHC,600,44,10385,1.331629,True,0
LAHC,650,42,9550,1.116352,True,0
LAHC,650,43,12447,1.749005,True,0
LAHC,650,44,11702,1.532156,True,0
LAHC,700,42,12618,1.617553,True,0
LAHC,700,43,12692,1.642743,True,0
LAHC,700,44,10292,1.992833,True,0
LAHC,750,42,8624,1.730848,True,0
LAHC,750,43,8717,1.781866,True,0
LAHC,750,44,8691,1.533011,True,0
LAHC,800,42,9512,1.827195,True,0
LAHC,800,43,17906,1.87645,True,0
LAHC,800,44,12594,2.046817,True,0
LAHC,850,42,12205,2.286112,True,0
LAHC,850,43,12162,2.357545,True,0
LAHC,850,44,13273,2.293373,True,0
LAHC,900,42,11330,1.974924,True,0
LAHC,900,43,12727,1.782438,True,0
LAHC,900,44,11290,2.350913,True,0
LAHC,950,42,11109,2.469039,True,0
LAHC,950,43,8588,2.465079,True,0
LAHC,950,44,14043,2.280762,True,0
Multi-Neighbourhood SA,1000,42,19588,2.279272,True,0
Multi-Neighbourhood SA,1000,43,19113,2.435844,True,0
Multi-Neighbourhood SA,1000,44,20856,2.442506,True,0
Multi-Neighbourhood SA,100,42,18652,2.286094,False,323
Multi-Neighbourhood SA,100,43,22172,2.628942,False,322
Multi-Neighbourhood SA,100,44,18083,2.389209,False,330
Multi-Neighbourhood SA,150,42,23950,4.48773,False,315
Multi-Neighbourhood SA,150,43,22603,3.618256,False,324
Multi-Neighbourhood SA,150,44,22022,3.880938,False,334
Multi-Neighbourhood SA,200,42,20476,2.481788,False,109
Multi-Neighbourhood SA,200,43,21167,2.302473,False,111
Multi-Neighbourhood SA,200,44,21336,2.266716,False,67
Multi-Neighbourhood SA,250,42,26418,3.664572,False,25
Multi-Neighbourhood SA,250,43,27580,3.560133,False,20
Multi-Neighbourhood SA,250,44,25705,3.232414,False,24
Multi-Neighbourhood SA,300,42,20908,3.658009,False,3
Multi-Neighbourhood SA,300,43,22698,3.836152,False,9
Multi-Neighbourhood SA,300,44,22072,3.667734,False,5
Multi-Neighbourhood SA,350,42,17654,2.76148,False,1
Multi-Neighbourhood SA,350,43,18847,2.298491,False,1
Multi-Neighbourhood SA,350,44,17777,2.428442,False,1
Multi-Neighbourhood SA,400,42,15007,0.773174,True,0
Multi-Neighbourhood SA,400,43,14007,0.875431,True,0
Multi-Neighbourhood SA,400,44,13890,0.863734,True,0
Multi-Neighbourhood SA,450,42,16763,0.880315,True,0
Multi-Neighbourhood SA,450,43,17475,0.929867,True,0
Multi-Neighbourhood SA,450,44,22741,0.828638,True,0
Multi-Neighbourhood SA,500,42,14477,1.080749,True,0
Multi-Neighbourhood SA,500,43,14712,0.924313,True,0
Multi-Neighbourhood SA,500,44,13360,1.071276,True,0
Multi-Neighbourhood SA,50,42,14246,0.651202,False,384
Multi-Neighbourhood SA,50,43,14190,0.645587,False,400
Multi-Neighbourhood SA,50,44,11771,0.580136,False,386
Multi-Neighbourhood SA,550,42,15838,1.206517,True,0
Multi-Neighbourhood SA,550,43,14928,1.234284,True,0
Multi-Neighbourhood SA,550,44,14772,1.108981,True,0
Multi-Neighbourhood SA,600,42,12272,1.195052,True,0
Multi-Neighbourhood SA,600,43,12976,1.456717,True,0
Multi-Neighbourhood SA,600,44,12393,1.364378,True,0
Multi-Neighbourhood SA,650,42,13192,1.49978,True,0
Multi-Neighbourhood SA,650,43,14093,1.558411,True,0
Multi-Neighbourhood SA,650,44,12619,1.477387,True,0
Multi-Neighbourhood SA,700,42,18434,1.459984,True,0
Multi-Neighbourhood SA,700,43,15637,1.811983,True,0
Multi-Neighbourhood SA,700,44,14008,1.598933,True,0
Multi-Neighbourhood SA,750,42,11416,1.854097,True,0
Multi-Neighbourhood SA,750,43,13390,1.522219,True,0
Multi-Neighbourhood SA,750,44,11259,1.637907,True,0
Multi-Neighbourhood SA,800,42,13461,1.935003,True,0
Multi-Neighbourhood SA,800,43,19355,1.824846,True,0
Multi-Neighbourhood SA,800,44,13920,1.947748,True,0
Multi-Neighbourhood SA,850,42,19541,1.491253,True,0
Multi-Neighbourhood SA,850,43,19634,2.006716,True,0
Multi-Neighbourhood SA,850,44,18594,1.734283,True,0
Multi-Neighbourhood SA,900,42,15093,2.035776,True,0
